,ID_cc,ID_DEPTO,Capacidad
0,0,2000,0.0
1,1,2000,0.0
2,2,2000,80.0
3,3,2000,300.0
4,4,2000,140.0
5,5,2000,250.0
6,6,2000,0.0
7,7,2000,0.0
8,8,2000,60.0
9,9,2000,0.0
10,10,2000,0.0
11,11,2000,0.0
12,12,2000,150.0
13,13,2000,0.0
14,14,2000,150.0
15,15,2000,0.0
16,16,2000,300.0
17,17,2000,450.0
18,18,2000,100.0
19,19,2000,130.0
20,20,2000,0.0
21,21,2000,130.0
22,22,2000,0.0
23,23,2000,0.0
24,24,2000,50.0
25,25,2000,0.0
26,26,2000,0.0
27,27,2000,50.0
28,28,2000,100.0
29,29,2000,220.0
30,30,2000,0.0
31,31,2000,80.0
32,32,2000,25.0
33,33,2000,0.0
34,34,2000,0.0
35,35,2000,0.0
36,36,2000,145.0
37,37,2000,0.0
38,38,2000,20.0
39,39,2000,60.0
40,40,2000,100.0
41,41,2000,150.0
42,42,2000,0.0
43,43,2000,100.0
44,44,2000,120.0
45,45,2000,0.0
46,46,2000,0.0
47,47,2000,300.0
48,48,2000,50.0
49,49,2000,0.0
50,50,2000,150.0
51,51,2000,0.0
52,52,2000,80.0
53,53,2000,0.0
54,54,2000,0.0
55,55,2000,451.0
56,56,2000,0.0
57,57,2000,0.0
58,58,2000,200.0
59,59,2000,0.0
60,60,2000,0.0
61,61,2000,150.0
62,62,2000,0.0
63,63,2000,0.0
64,64,2000,0.0
65,65,2000,233.0
66,66,2000,0.0
67,67,2000,0.0
68,68,2000,0.0
69,69,2000,150.0
70,70,2000,50.0
71,71,2000,0.0
72,72,2000,0.0
73,73,2000,50.0
74,74,2000,0.0
75,75,2000,0.0
76,76,2000,0.0
77,77,2000,0.0
78,78,2000,0.0
79,79,2000,50.0
80,80,2000,50.0
81,81,2000,0.0
82,82,2000,300.0
83,83,2000,168.0
84,84,2000,94.0
85,85,2000,0.0
86,86,2000,800.0
87,87,2000,25.0
88,88,2000,150.0
89,89,2000,583.0
90,90,2000,500.0
91,91,2000,150.0
92,92,2000,0.0
93,93,2000,250.0
94,94,2000,0.0
95,95,2000,0.0
96,96,2000,50.0
97,97,2000,0.0
98,98,2000,0.0
99,99,2000,120.0
100,100,2000,140.0
101,101,2000,0.0
102,102,2000,0.0
103,103,2000,60.0
104,104,2000,150.0
105,105,2000,111.0
106,106,2000,0.0
107,107,2000,145.0
108,108,2000,0.0
109,109,2000,0.0
110,110,2000,80.0
111,111,2000,150.0
112,112,2000,100.0
113,113,2000,0.0
114,114,2000,150.0
115,115,2000,800.0
116,116,2000,0.0
117,117,2000,100.0
118,118,2000,0.0
119,119,2000,0.0
120,120,2000,0.0
121,121,2000,0.0
122,122,2000,80.0
123,123,2000,0.0
124,124,2000,200.0
125,125,2000,0.0
126,126,2000,94.0
127,127,2000,100.0
128,128,2000,0.0
129,129,2000,150.0
130,130,2000,0.0
131,131,2000,25.0
132,132,2000,0.0
133,133,2000,350.0
134,134,2000,0.0
135,135,2000,0.0
136,136,2000,150.0
137,137,2000,0.0
138,138,2000,150.0
139,139,2000,150.0
140,140,2000,150.0
141,141,2000,50.0
142,142,2000,110.0
143,143,2000,0.0
144,144,2000,60.0
145,145,2000,0.0
146,146,2000,0.0
147,147,2000,0.0
148,148,2000,0.0
149,149,2000,250.0
150,150,2000,0.0
151,151,2000,0.0
152,152,2000,0.0
153,153,2000,0.0
154,154,2000,50.0
155,155,2000,300.0
156,156,2000,0.0
157,157,2000,98.0
158,158,2000,50.0
159,159,2000,0.0
160,160,2000,0.0
161,161,2000,450.0
162,162,2000,235.0
163,163,2000,60.0
164,164,2000,150.0
165,165,2000,0.0
166,166,2000,250.0
167,167,2000,0.0
168,168,2000,0.0
169,169,2000,69.0
170,170,2000,0.0
171,171,2000,750.0
172,172,2000,0.0
173,173,2000,90.0
174,174,2000,100.0
175,175,2000,0.0
176,176,2000,0.0
177,177,2000,0.0
178,178,2000,100.0
179,179,2000,50.0
180,180,2000,0.0
181,181,2000,50.0
182,182,2000,0.0
183,183,2000,0.0
184,184,2000,0.0
185,185,2000,0.0
186,186,2000,150.0
187,187,2000,300.0
188,188,2000,0.0
189,189,2000,150.0
190,190,2000,0.0
191,191,2000,150.0
192,192,2000,150.0
193,193,2000,60.0
194,194,2000,150.0
195,195,2000,0.0
196,196,2000,0.0
197,197,2000,0.0
198,198,2000,136.0
199,199,2000,0.0
200,200,2000,0.0
201,201,2000,80.0
202,202,2000,139.0
203,203,2000,0.0
204,204,2000,0.0
205,205,2000,102.0
206,206,2000,0.0
207,207,2000,0.0
208,208,2000,0.0
209,209,2000,0.0
210,210,2000,0.0
211,211,2000,0.0
212,212,2000,284.0
213,213,2000,0.0
214,214,2000,72.0
215,215,2000,118.0
216,216,2000,0.0
217,217,2000,0.0
218,218,2000,400.0
219,219,2000,0.0
220,220,2000,50.0
221,221,2000,200.0
222,222,2000,150.0
223,223,2000,95.0
224,224,2000,0.0
225,225,2000,80.0
226,226,2000,0.0
227,227,2000,95.0
228,228,2000,80.0
229,229,2000,150.0
230,230,2000,0.0
231,231,2000,0.0
232,232,2000,0.0
233,233,2000,0.0
234,234,2000,0.0
235,235,2000,0.0
236,236,2000,0.0
237,237,2000,0.0
238,238,2000,0.0
239,239,2000,0.0
240,240,2000,0.0
241,241,2000,0.0
242,242,2000,50.0
243,243,2000,150.0
244,244,2000,150.0
245,245,2000,0.0
246,246,2000,91.0
247,247,2000,90.0
248,248,2000,0.0
249,249,2000,20.0
250,250,2000,100.0
251,251,2000,0.0
252,252,2000,0.0
253,253,2000,100.0
254,254,2000,0.0
255,255,2000,50.0
256,256,2000,150.0
257,257,2000,50.0
258,258,2000,0.0
259,259,2000,80.0
260,260,2000,2380.0
261,261,2000,0.0
262,262,2000,0.0
263,263,2000,99.0
264,264,2000,200.0
265,265,2000,0.0
266,266,2000,150.0
267,267,2000,0.0
268,268,2000,0.0
269,269,2000,0.0
270,270,2000,100.0
271,271,2000,30.0
272,272,2000,45.0
273,273,2000,100.0
274,274,2000,50.0
275,275,2000,60.0
276,276,2000,466.0
277,277,2000,0.0
278,278,2000,0.0
279,279,2000,130.0
280,280,2000,0.0
281,281,2000,0.0
282,282,2000,0.0
283,283,2000,0.0
284,284,2000,200.0
285,285,2000,0.0
286,286,2000,300.0
287,287,2000,0.0
288,288,2000,0.0
289,289,2000,0.0
290,290,2000,0.0
291,291,2000,80.0
292,292,2000,0.0
293,293,2000,150.0
294,294,2000,150.0
295,295,2000,0.0
296,296,6007,0.0
297,297,6021,0.0
298,298,6028,0.0
299,299,6028,130.0
300,300,6028,120.0
301,301,6028,0.0
302,302,6028,0.0
303,303,6028,0.0
304,304,6028,0.0
305,305,6028,0.0
306,306,6028,0.0
307,307,6028,0.0
308,308,6028,0.0
309,309,6028,0.0
310,310,6028,0.0
311,311,6035,200.0
312,312,6035,200.0
313,313,6035,80.0
314,314,6035,0.0
315,315,6035,0.0
316,316,6035,0.0
317,317,6035,0.0
318,318,6035,70.0
319,319,6035,150.0
320,320,6035,200.0
321,321,6035,50.0
322,322,6035,0.0
323,323,6035,250.0
324,324,6035,150.0
325,325,6035,100.0
326,326,6035,100.0
327,327,6035,0.0
328,328,6035,0.0
329,329,6035,300.0
330,330,6035,100.0
331,331,6035,150.0
332,332,6035,0.0
333,333,6035,140.0
334,334,6035,200.0
335,335,6035,200.0
336,336,6035,0.0
337,337,6035,90.0
338,338,6035,60.0
339,339,6035,70.0
340,340,6035,0.0
341,341,6035,0.0
342,342,6035,0.0
343,343,6035,0.0
344,344,6035,100.0
345,345,6035,100.0
346,346,6035,500.0
347,347,6035,150.0
348,348,6035,10.0
349,349,6035,0.0
350,350,6035,100.0
351,351,6035,0.0
352,352,6035,0.0
353,353,6035,0.0
354,354,6035,70.0
355,355,6035,0.0
356,356,6035,0.0
357,357,6035,500.0
358,358,6035,250.0
359,359,6035,0.0
360,360,6035,100.0
361,361,6035,250.0
362,362,6035,0.0
363,363,6035,300.0
364,364,6035,0.0
365,365,6035,500.0
366,366,6035,0.0
367,367,6035,150.0
368,368,6035,0.0
369,369,6035,300.0
370,370,6035,0.0
371,371,6035,50.0
372,372,6035,0.0
373,373,6035,0.0
374,374,6035,80.0
375,375,6035,70.0
376,376,6035,0.0
377,377,6056,0.0
378,378,6056,0.0
379,379,6056,0.0
380,380,6056,0.0
381,381,6056,0.0
382,382,6056,0.0
383,383,6056,0.0
384,384,6056,0.0
385,385,6056,0.0
386,386,6056,0.0
387,387,6056,0.0
388,388,6063,0.0
389,389,6063,0.0
390,390,6084,0.0
391,391,6091,0.0
392,392,6091,0.0
393,393,6098,0.0
394,394,6112,750.0
395,395,6119,0.0
396,396,6126,0.0
397,397,6134,0.0
398,398,6147,0.0
399,399,6203,0.0
400,400,6210,0.0
401,401,6224,0.0
402,402,6238,30.0
403,403,6238,0.0
404,404,6245,0.0
405,405,6245,0.0
406,406,6252,0.0
407,407,6252,0.0
408,408,6252,0.0
409,409,6252,0.0
410,410,6260,0.0
411,411,6315,0.0
412,412,6315,0.0
413,413,6357,0.0
414,414,6357,184.0
415,415,6357,200.0
416,416,6357,0.0
417,417,6357,0.0
418,418,6357,0.0
419,419,6357,0.0
420,420,6357,0.0
421,421,6357,0.0
422,422,6357,0.0
423,423,6371,0.0
424,424,6371,0.0
425,425,6371,0.0
426,426,6371,0.0
427,427,6371,0.0
428,428,6371,0.0
429,429,6371,0.0
430,430,6371,0.0
431,431,6371,0.0
432,432,6371,65.0
433,433,6408,0.0
434,434,6410,0.0
435,435,6410,0.0
436,436,6410,0.0
437,437,6412,0.0
438,438,6412,0.0
439,439,6413,0.0
440,440,6413,0.0
441,441,6427,0.0
