,pobl_jardin,pobl_primaria,pobl_secundaria,pobl_total
147,802.0,1666.0,1116.0,12219.0
148,1767.0,3410.0,2186.0,26822.0
149,936.0,1694.0,1162.0,13317.0
150,1647.0,3161.0,2255.0,25254.0
151,2113.0,4416.0,2770.0,33951.0
152,4759.0,9617.0,5975.0,75462.0
153,85562.0,169476.0,106456.0,1498060.0
154,19539.0,39665.0,24613.0,294511.0
155,4613.0,8576.0,5373.0,64748.0
156,2356.0,4377.0,2856.0,36064.0
157,10056.0,19157.0,11456.0,152397.0
158,2565.0,4719.0,3236.0,36023.0
159,4515.0,8594.0,5280.0,68317.0
160,6292.0,12211.0,7608.0,107286.0
161,305.0,565.0,384.0,4855.0
162,308.0,541.0,398.0,5070.0
163,2343.0,4694.0,2924.0,37551.0
164,12228.0,25982.0,16548.0,219494.0
165,17647.0,32923.0,20150.0,277979.0
166,4281.0,7686.0,4647.0,58181.0
167,1054.0,2160.0,1383.0,15275.0
168,7193.0,13750.0,8663.0,113311.0
169,2709.0,5285.0,3305.0,42029.0
170,3883.0,7969.0,4900.0,62700.0
171,14326.0,27666.0,17996.0,228951.0
172,9595.0,19062.0,11150.0,139012.0
173,289.0,524.0,393.0,4381.0
174,7330.0,14444.0,8880.0,120207.0
175,1583.0,2987.0,1866.0,22473.0
176,976.0,1636.0,1037.0,14092.0
177,7130.0,13631.0,8675.0,113635.0
178,3604.0,6391.0,3639.0,44369.0
179,188.0,344.0,246.0,2808.0
180,28410.0,54558.0,33152.0,437446.0
181,2308.0,4204.0,2576.0,26270.0
182,3754.0,7104.0,4346.0,51489.0
183,1284.0,2331.0,1472.0,17948.0
184,2924.0,5547.0,3551.0,39168.0
185,724.0,1235.0,788.0,9051.0
186,1159.0,2182.0,1352.0,17016.0
187,7275.0,14489.0,9157.0,106223.0
188,930.0,1697.0,938.0,11946.0
189,3123.0,5571.0,3380.0,38767.0
190,3584.0,6393.0,3614.0,40406.0
191,814.0,1505.0,1036.0,11541.0
192,4049.0,7036.0,3868.0,49807.0
193,3347.0,6255.0,3686.0,45602.0
194,4403.0,8490.0,5343.0,56778.0
195,2225.0,4044.0,2594.0,29126.0
196,1304.0,2520.0,1423.0,19679.0
197,1505.0,2749.0,1750.0,21381.0
198,1252.0,2240.0,1401.0,15164.0
199,1042.0,2003.0,1209.0,12700.0
200,1782.0,3115.0,1945.0,22682.0
201,5739.0,10699.0,6350.0,71922.0
202,733.0,1440.0,935.0,10382.0
203,3352.0,5826.0,3803.0,37794.0
204,2095.0,3896.0,2304.0,28060.0
205,6995.0,13802.0,8717.0,101086.0
206,2560.0,4668.0,2661.0,34493.0
207,1898.0,3215.0,1939.0,23179.0
208,607.0,1033.0,619.0,8310.0
209,820.0,1453.0,871.0,10643.0
210,1171.0,1938.0,1194.0,12807.0
211,1036.0,2043.0,1226.0,15061.0
212,5610.0,10797.0,6215.0,68429.0
213,1922.0,3416.0,2344.0,21948.0
214,1044.0,1920.0,1109.0,13775.0
215,5368.0,9552.0,5668.0,65304.0
216,2193.0,3976.0,2248.0,26354.0
217,4846.0,8634.0,4936.0,59798.0
218,2454.0,4105.0,2556.0,30223.0
219,1740.0,3368.0,2171.0,21544.0
220,1116.0,2090.0,1252.0,13938.0
221,1087.0,2083.0,1022.0,14265.0
222,2601.0,4386.0,2914.0,32430.0
223,25756.0,51579.0,30260.0,413764.0
224,1391.0,2435.0,1392.0,16045.0
225,1454.0,2601.0,1558.0,18696.0
226,320.0,579.0,364.0,4051.0
227,2723.0,5121.0,3201.0,32606.0
228,6540.0,13815.0,8851.0,102806.0
229,1606.0,3632.0,2317.0,28099.0
230,13341.0,28534.0,17230.0,214829.0
231,136.0,260.0,134.0,1782.0
232,2822.0,6402.0,4018.0,49965.0
233,797.0,1597.0,1046.0,12505.0
234,63.0,128.0,88.0,1181.0
235,183.0,350.0,238.0,2862.0
236,53.0,85.0,49.0,744.0
237,107.0,221.0,117.0,1882.0
238,8394.0,17738.0,11382.0,144420.0
239,484.0,827.0,461.0,6347.0
240,1090.0,2249.0,1274.0,14477.0
241,361.0,857.0,462.0,5947.0
242,96.0,188.0,126.0,1608.0
243,4698.0,9304.0,5733.0,74890.0
244,14472.0,28339.0,16536.0,197603.0
245,3104.0,5959.0,3650.0,52312.0
246,5545.0,10657.0,6175.0,78264.0
247,2115.0,3841.0,2303.0,29436.0
248,1176.0,2287.0,1463.0,16717.0
249,3613.0,7275.0,4413.0,56796.0
250,7538.0,15617.0,9887.0,125176.0
251,1060.0,2001.0,1218.0,13984.0
252,5355.0,10288.0,6216.0,75271.0
253,2724.0,5371.0,3309.0,42954.0
254,22408.0,46347.0,28200.0,388716.0
255,1395.0,2835.0,1823.0,20786.0
256,1977.0,4101.0,2507.0,31091.0
257,6909.0,14266.0,9036.0,115516.0
258,2501.0,4881.0,3023.0,40301.0
259,3757.0,7180.0,4500.0,55284.0
260,1425.0,2709.0,1566.0,15600.0
261,16979.0,34912.0,21926.0,268572.0
262,1408.0,2813.0,1848.0,19275.0
263,1582.0,2875.0,1730.0,17017.0
264,6519.0,13027.0,7431.0,81600.0
265,1559.0,2835.0,1791.0,19089.0
266,7325.0,13492.0,7876.0,94116.0
267,5506.0,10741.0,6618.0,72560.0
268,2024.0,3636.0,2138.0,17678.0
269,1070.0,2254.0,1492.0,14998.0
270,8819.0,17775.0,10910.0,122259.0
271,18274.0,41143.0,25045.0,319469.0
272,1360.0,3284.0,1956.0,20877.0
273,6608.0,13057.0,7969.0,94132.0
274,3817.0,8633.0,5524.0,65522.0
275,136.0,326.0,152.0,1797.0
276,437.0,922.0,521.0,6729.0
277,5787.0,12163.0,7175.0,88237.0
278,1571.0,3182.0,1777.0,20497.0
279,223.0,409.0,264.0,2641.0
280,359.0,684.0,406.0,3966.0
281,854.0,1996.0,1330.0,14621.0
282,304.0,702.0,389.0,5298.0
283,152.0,374.0,235.0,2490.0
284,1883.0,3731.0,2382.0,25831.0
285,620.0,1295.0,847.0,11053.0
286,153.0,366.0,255.0,2611.0
287,6551.0,14634.0,9176.0,118504.0
288,517.0,1150.0,673.0,8225.0
289,815.0,1775.0,1046.0,15094.0
290,83.0,141.0,81.0,1103.0
291,157.0,398.0,235.0,2868.0
292,780.0,1533.0,996.0,12277.0
293,84.0,206.0,135.0,1461.0
294,561.0,1023.0,696.0,9397.0
295,393.0,786.0,525.0,7713.0
296,33.0,58.0,39.0,428.0
297,28.0,51.0,19.0,413.0
298,512.0,1128.0,745.0,9243.0
299,4305.0,8620.0,5299.0,69067.0
300,890.0,1781.0,1000.0,11636.0
301,493.0,932.0,697.0,8404.0
302,673.0,1461.0,972.0,11090.0
303,991.0,2165.0,1443.0,17356.0
304,1231.0,2745.0,1538.0,17927.0
305,350.0,665.0,427.0,5637.0
306,1039.0,2366.0,1459.0,17686.0
307,1099.0,2169.0,1324.0,16251.0
308,12674.0,26316.0,16804.0,210507.0
309,341.0,694.0,422.0,5810.0
310,683.0,1395.0,853.0,11371.0
311,1056.0,1840.0,1191.0,15630.0
312,3659.0,7958.0,5425.0,58681.0
313,379.0,857.0,583.0,6984.0
314,214.0,433.0,256.0,3184.0
315,511.0,894.0,608.0,7615.0
316,264.0,479.0,344.0,4013.0
317,123.0,226.0,157.0,1885.0
318,460.0,872.0,573.0,7347.0
319,322.0,715.0,470.0,5017.0
320,179.0,339.0,209.0,2695.0
321,159.0,341.0,225.0,2399.0
322,1047.0,2163.0,1337.0,15764.0
323,291.0,555.0,365.0,4306.0
324,194.0,397.0,222.0,2994.0
325,6704.0,13142.0,7894.0,123715.0
326,3256.0,7073.0,4145.0,52379.0
327,10809.0,22421.0,14053.0,194557.0
328,20274.0,42071.0,25188.0,320871.0
329,2919.0,6042.0,3623.0,46472.0
330,833.0,1684.0,949.0,12018.0
331,15684.0,33008.0,20154.0,233839.0
332,3610.0,7590.0,4343.0,47086.0
333,11140.0,23596.0,14798.0,171883.0
334,14639.0,29966.0,18280.0,218887.0
335,2215.0,4941.0,2931.0,32596.0
336,4237.0,8707.0,5149.0,63589.0
337,2796.0,5788.0,3439.0,39752.0
338,9309.0,19590.0,11269.0,139406.0
339,13826.0,28167.0,16849.0,213204.0
340,1433.0,2841.0,1597.0,19379.0
341,4143.0,8848.0,5236.0,59972.0
342,3097.0,6398.0,3793.0,41168.0
343,4329.0,7716.0,4559.0,50503.0
344,5301.0,9886.0,5715.0,59875.0
345,3129.0,5608.0,3276.0,34945.0
346,26806.0,53796.0,31291.0,391498.0
347,898.0,1573.0,944.0,10303.0
348,7183.0,13638.0,8178.0,91133.0
349,4523.0,7853.0,4325.0,45456.0
350,7263.0,12972.0,7391.0,77075.0
351,8679.0,16252.0,9234.0,99838.0
352,3609.0,6903.0,4131.0,49391.0
353,4273.0,7881.0,4618.0,52166.0
354,2984.0,6003.0,3559.0,38620.0
355,9537.0,18295.0,10400.0,120703.0
356,5389.0,9779.0,5609.0,63194.0
357,1905.0,3735.0,2101.0,23080.0
358,3728.0,6461.0,3524.0,34690.0
359,2816.0,4841.0,2780.0,30877.0
360,704.0,1382.0,865.0,10173.0
361,1555.0,2833.0,1621.0,18150.0
362,173.0,415.0,221.0,2641.0
363,280.0,615.0,384.0,4832.0
364,27733.0,59506.0,35969.0,467217.0
365,1031.0,2429.0,1439.0,18289.0
366,1343.0,2900.0,1681.0,20853.0
367,2232.0,5029.0,3275.0,39567.0
368,547.0,1055.0,623.0,7696.0
369,895.0,2102.0,1313.0,15502.0
370,585.0,1213.0,703.0,9267.0
371,356.0,730.0,452.0,5572.0
372,2150.0,4621.0,2803.0,29721.0
373,306.0,716.0,386.0,5087.0
374,570.0,1248.0,673.0,8471.0
375,2694.0,6212.0,3890.0,45540.0
376,3573.0,8068.0,5116.0,63845.0
377,2748.0,5599.0,3494.0,41160.0
378,8922.0,19659.0,11848.0,161443.0
379,475.0,970.0,543.0,7398.0
380,446.0,1000.0,578.0,6960.0
381,23545.0,49176.0,29929.0,379627.0
382,239.0,443.0,269.0,3682.0
383,86.0,168.0,107.0,1452.0
384,1044.0,2243.0,1228.0,16493.0
385,483.0,1222.0,706.0,9309.0
386,2202.0,4694.0,2883.0,35473.0
387,274.0,520.0,297.0,4300.0
388,1073.0,2157.0,1370.0,16555.0
389,5815.0,10666.0,6435.0,69442.0
390,667.0,1401.0,740.0,8928.0
391,1146.0,2662.0,1606.0,17822.0
392,38239.0,81627.0,49058.0,624003.0
393,4329.0,9060.0,5068.0,55713.0
394,1658.0,3425.0,2161.0,24715.0
395,3939.0,7836.0,4616.0,55746.0
396,15943.0,29440.0,17342.0,177448.0
397,245.0,472.0,263.0,3491.0
398,536.0,1070.0,667.0,6116.0
399,793.0,1603.0,918.0,12246.0
400,479.0,1021.0,614.0,7182.0
401,141.0,286.0,190.0,1789.0
402,613.0,1255.0,768.0,8888.0
403,724.0,1281.0,772.0,7182.0
404,3513.0,6508.0,3741.0,48028.0
405,406.0,947.0,594.0,5808.0
406,13676.0,25721.0,15282.0,159715.0
407,4198.0,7277.0,4141.0,38062.0
408,2416.0,4696.0,2748.0,33750.0
409,3849.0,7490.0,4340.0,50961.0
410,539.0,1237.0,697.0,7779.0
411,699.0,1646.0,1055.0,9411.0
412,2413.0,4798.0,2987.0,31281.0
413,796.0,1553.0,977.0,10172.0
414,904.0,1676.0,923.0,10667.0
415,6366.0,12102.0,7771.0,114849.0
416,3522.0,6433.0,4227.0,44017.0
417,7941.0,15432.0,9618.0,103772.0
418,696.0,1207.0,753.0,8826.0
419,1758.0,3178.0,1993.0,25269.0
